"filename", "language", "YAML", "Ignore", "Python", "Markdown", "pip requirements", "Docker", "Makefile", "JavaScript", "JavaScript JSX", "HTML", "CSS", "JSON", "XML", "comment", "blank", "total"
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6396, 0, 0, 1, 6397
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 47
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 5, 24
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 19, 4, 65
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/design/Benefits.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 11, 1, 17
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/design/BgPlanetsSignIn.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 11, 70
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/design/CirclesSignIn.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 8, 10, 74
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/design/Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 45, 8, 89
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/design/Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 32, 11, 118
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/design/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/notification/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/png/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 1, 25
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/svg/Arrow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 10, 2, 21
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/svg/Brackets.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 12, 2, 58
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/svg/CalendarUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 9, 4, 23
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/svg/MenuSvg.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 14, 4, 56
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/assets/svg/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 10, 4, 37
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/GoogleOAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 10, 9, 75
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/dashboard/CalendarOverview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 12, 11, 121
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/dashboard/CustomToolbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 3, 7, 78
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/dashboard/InboxOverview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 7, 5, 58
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/dashboard/RightBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 26, 21, 222
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/dashboard/SideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 20, 13, 143
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/dashboard/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/dashboard/userDataHandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 80, 40, 365
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/landing/Benefits.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 13, 9, 84
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/src/components/landing/Features.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 13, 9, 80
